Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,0.0002
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
3.900e-02,2.96
3.920e-02,2.96
3.940e-02,2.88
3.960e-02,2.88
3.980e-02,2.96
4.000e-02,2.8
4.020e-02,2.88
4.040e-02,2.88
4.060e-02,2.96
4.080e-02,2.88
4.100e-02,2.88
4.120e-02,2.88
4.140e-02,2.8
4.160e-02,2.8
4.180e-02,2.8
4.200e-02,2.8
4.220e-02,2.88
4.240e-02,2.88
4.260e-02,2.88
4.280e-02,2.88
4.300e-02,2.96
4.320e-02,2.96
4.340e-02,2.96
4.360e-02,2.96
4.380e-02,3.04
4.400e-02,3.04
4.420e-02,3.04
4.440e-02,2.96
4.460e-02,3.04
4.480e-02,3.04
4.500e-02,3.04
4.520e-02,3.12
4.540e-02,3.04
4.560e-02,3.04
4.580e-02,3.12
4.600e-02,3.04
4.620e-02,3.04
4.640e-02,3.04
4.660e-02,2.96
4.680e-02,2.96
4.700e-02,3.04
4.720e-02,2.96
4.740e-02,2.96
4.760e-02,3.04
4.780e-02,2.96
4.800e-02,2.88
4.820e-02,2.88
4.840e-02,2.8
4.860e-02,2.8
4.880e-02,2.88
4.900e-02,2.88
4.920e-02,2.88
4.940e-02,2.88
4.960e-02,2.88
4.980e-02,2.88
5.000e-02,2.8
5.020e-02,2.8
5.040e-02,2.88
5.060e-02,2.8
5.080e-02,2.88
5.100e-02,2.88
5.120e-02,2.96
5.140e-02,2.88
5.160e-02,2.96
5.180e-02,2.96
5.200e-02,3.04
5.220e-02,2.96
5.240e-02,2.96
5.260e-02,2.96
5.280e-02,2.96
5.300e-02,3.04
5.320e-02,2.96
5.340e-02,3.04
5.360e-02,2.96
5.380e-02,3.04
5.400e-02,3.04
5.420e-02,3.04
5.440e-02,3.04
5.460e-02,3.04
5.480e-02,3.04
5.500e-02,3.04
5.520e-02,2.96
5.540e-02,2.96
5.560e-02,2.96
5.580e-02,3.04
5.600e-02,2.96
5.620e-02,2.96
5.640e-02,2.88
5.660e-02,2.88
5.680e-02,2.88
5.700e-02,2.88
5.720e-02,2.96
5.740e-02,2.88
5.760e-02,2.88
5.780e-02,2.88
5.800e-02,2.88
5.820e-02,2.88
5.840e-02,2.8
5.860e-02,2.8
5.880e-02,2.8
5.900e-02,2.8
5.920e-02,2.88
5.940e-02,2.96
5.960e-02,2.96
5.980e-02,2.88
6.000e-02,2.96
6.020e-02,2.96
6.040e-02,2.96
6.060e-02,2.96
6.080e-02,2.96
6.100e-02,2.96
6.120e-02,3.04
6.140e-02,3.04
6.160e-02,3.04
6.180e-02,3.04
6.200e-02,3.12
6.220e-02,3.12
6.240e-02,3.04
6.260e-02,3.04
6.280e-02,3.04
6.300e-02,3.12
6.320e-02,3.04
6.340e-02,3.04
6.360e-02,3.12
6.380e-02,3.04
6.400e-02,2.96
6.420e-02,3.04
6.440e-02,2.96
6.460e-02,2.88
6.480e-02,2.96
6.500e-02,2.8
6.520e-02,2.88
6.540e-02,2.8
6.560e-02,2.88
6.580e-02,2.88
6.600e-02,2.96
6.620e-02,2.88
6.640e-02,2.8
6.660e-02,2.8
6.680e-02,2.8
6.700e-02,2.88
6.720e-02,2.88
6.740e-02,2.8
6.760e-02,2.96
6.780e-02,2.96
6.800e-02,2.96
6.820e-02,2.88
6.840e-02,2.96
6.860e-02,2.96
6.880e-02,2.96
6.900e-02,2.96
6.920e-02,2.96
6.940e-02,3.04
6.960e-02,3.04
6.980e-02,3.04
7.000e-02,3.04
7.020e-02,3.04
7.040e-02,3.04
7.060e-02,3.04
7.080e-02,3.12
7.100e-02,3.12
7.120e-02,3.04
7.140e-02,2.96
7.160e-02,3.04
7.180e-02,3.12
7.200e-02,3.12
7.220e-02,3.04
7.240e-02,2.96
7.260e-02,2.88
7.280e-02,2.88
7.300e-02,2.88
7.320e-02,2.88
7.340e-02,2.88
7.360e-02,2.88
7.380e-02,2.88
